step_id,description,predecessors,repetitions,reversible,people_required,connection_type,tool_required,time_per_rep_s,component_weight_g,accessibility,source
1.1,Remove screws (cover),-,40,Yes,1,Screw,Cordless screwdriver (T25),3.5,3.5,Vertical,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
1.2,Remove clamping bars,1.1,4,Yes,1,None,Hand,2.0,213.5,Vertical,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
1.3,Cut through adhesive,1.1,1,No,1,Adhesive,Cutter/screwdriver,380.0,,Side,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
1.4,Lift off cover,"1.2,1.3",1,Yes,1,None,Hand,20.0,3690.0,Vertical,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
2.1,Remove screws busbar 1,1.4,2,Yes,1,Screw,Cordless screwdriver (T25) + extension,5.0,3.0,Vertical,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
2.2,Remove plugs busbar 1,2.1,2,Yes,1,Plug,Screwdriver,17.0,,Side,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
2.3,Remove busbar 1,2.2,1,Yes,1,None,Hand,2.0,256.0,Vertical,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
2.4,Cover and glue pole caps,2.2,2,Yes,1,None,Hand/adhesive tape,4.0,,Vertical,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
3.1,Remove screws support strut,2.4,4,Yes,1,Screw,Cordless screwdriver (T25),4.0,3.0,Vertical/Angled,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
3.2,Remove support strut,3.1,1,Yes,1,None,Hand,2.0,1252.5,Vertical,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
4.1,Remove air dryer,3.2,1,Yes,1,Snap-on,Hands,18.0,594.0,Side (poor),"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
4.2,Open air dryer,4.1,1,Yes,1,Plug-together,Slotted screwdriver,25.0,141.0,Side,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
4.3,Remove plugs from BMC (6 pcs),4.1,6,Yes,1,Plug,Screwdriver,7.0,,Horizontal,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
4.4,Remove screw from interference suppression filter,4.3,1,Yes,1,Screw,Cordless screwdriver (T25),5.0,3.5,Vertical,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
4.5,Remove interference suppression filter,4.4,1,Yes,1,None,Hand,2.0,153.0,Vertical,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
4.6,Remove screws from air dryer bracket,4.5,2,Yes,1,Screw,Cordless screwdriver (T25),5.0,3.5,Vertical,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
4.7,Remove air dryer bracket,4.6,1,Yes,1,None,Hand,2.0,106.0,Vertical,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
4.8,Remove plugs from interference filter (5 pcs),4.5,5,Yes,1,Plug,Pointed pliers,8.0,,Side,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
4.9,Remove further plugs,4.8,1,Yes,1,Plug,Narrow hand or pliers,25.0,,Horizontal (poor),"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
4.10,Remove screws from interference filter holder (3 pcs),4.9,3,Yes,1,Screw,Cordless screwdriver + long extension (T25),5.0,3.0,Vertical,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
4.11,Remove interference filter holder,4.10,1,Yes,1,None,Hand,4.0,249.0,Vertical,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
4.12,Remove screws from BMC inside cover (2 pcs),4.11,2,Yes,1,Screw,Cordless screwdriver (T25),4.0,3.5,Vertical,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
4.13,Remove screws from BMC outside cover (4 pcs),4.11,4,Yes,1,Screw,Cordless screwdriver (T20),5.0,3.5,Horizontal,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
4.14,Remove BMC,"4.12,4.13",1,Yes,1,None,Hand,2.0,343.0,Vertical,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
4.15,Open BMC,4.14,1,Yes,1,None,Hand,15.0,72.0,Vertical,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
5.1,Remove screws from battery sensor (2 pcs),1.4,2,Yes,1,Screw,Cordless screwdriver (T30),4.0,,Vertical,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
5.2,Remove plug from battery sensor,1.4,1,Yes,1,Plug,Pointed pliers,6.0,,Side,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
5.3,Remove battery sensor with shunt,"5.1,5.2",1,Yes,1,None,Hand,2.0,47.0,Vertical,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
6.1,Remove screws from busbar 2 (2 pcs),5.3,2,Yes,1,Screw,Cordless screwdriver (T25/T30),4.0,3.5,Vertical,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
6.2,Remove busbar 2,6.1,1,Yes,1,None,Hand,2.0,,Vertical,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
6.3,"Remove plugs (2 power plugs, 3 cable fixers)",6.2,5,Yes,1,Plug,Pointed pliers,4.0,,Side,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
6.4,Remove screws from busbar 3 with fuse (4 pcs),6.3,4,Yes,1,Screw,Cordless screwdriver (T25),4.0,3.0,Vertical,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
6.5,Remove busbar 3 with integrated fuse,6.4,1,Yes,1,None,Hand,2.0,365.5,Vertical,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
6.6,Remove screws on busbar 3 (2 pcs),6.5,2,Yes,1,Screw,Cordless screwdriver,5.0,5.25,Vertical,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
6.7,Remove fuse from busbar 3,6.6,1,Yes,1,None,Hand,2.0,217.0,Vertical,"Rosenberg et al. (2022), Energies, doi:10.3390/en15145324"
