id,title,link,publication_date,video_length,disassembly_duration,who_disassembles,manufacturer,car_model,battery_system_design,required_tools,traceability,connections_binders,charged,destructive_process,reassembly_possible,components_disassembled,difficulties
1,2013 Chevrolet Volt EV Battery Disassembly,https://www.youtube.com/watch?v=r2HwxU_vgpo,2018-10-20,00:18:23,Time lapse,Trained technician,Chevrolet,Volt,z,"Cordless screwdriver, wrench, screwdriver","Video is partly a bit blurry, dark, sometimes you can see only sections","Screws, also housing only screwed, plug connections","unknown, voltage is measured during the disassembly process",No,Yes,Only in the individual modules,Battery pack very heavy
2,BMW I3 Batterypack teardown,https://www.youtube.com/watch?v=la0zs9Oa4HM,2020-09-16,00:04:59,Time lapse,Private individual,BMW,i3,"8 modules with 12 cells each, incl. main control unit, cooling system",Cordless screwdriver,"Well comprehensible, decomposition only down to module level, time lapse","Screws (also housing only screwed), plug connections",Voltage present on cells,No,"Yes, is planned by the maker","Only in modules, cladding of one module is still being removed",Not visible
3,THE BREAKDOWN || Disassembling an EV Battery Pack,https://www.youtube.com/watch?v=rzvECfvGBI4,2020-10-10,00:01:02,Time lapse,Battery packs dealer,unknown,unknown,Not recognizable,Cordless screwdriver,"Bad, only short clips, video starts in the middle of the process, cladding of the pack is already off, rather promotional video","Screws, plug connections",unknown,No,Yes,Only in modules,Not visible
4,DIY Powerwall Project Pt.1: Nissan Leaf Battery Disassembly! (Case Separation) (3 parts),https://www.youtube.com/watch?v=sjvU9sItfDw,2018-03-12,00:04:00,Time lapse,Private individual,Nissan,Leaf,Several modules (min. 8) in pack with housing,"Cordless screwdriver, crowbar, pliers, carpet knife, gloves protecting against electricity","Well comprehensible, including explanations of the technician","Screws, bonding",Voltage present on cells,No,Yes,Into individual cells,"Difficulties in opening the case, strong adhesions"
5,DIY Powerwall Project Pt.2: Nissan Leaf Battery Disassembly Continued (3 parts),https://www.youtube.com/watch?v=gm-33kbougQ,2018-03-13,00:01:42,Time lapse,Private individual,Nissan,Leaf,Several modules (min. 8) in pack with housing,"Cordless screwdriver, crowbar, pliers, carpet knife, gloves protecting against electricity","Well comprehensible, including explanations of the technician","Screws, bonding",Voltage present on cells,No,Yes,Into individual cells,"Difficulties in opening the case, strong adhesions"
6,DIY Powerwall Project Pt.3: Nissan Leaf Battery Disassembly continued (3 parts),https://www.youtube.com/watch?v=bBY0ljeVLQ,2018-03-17,00:02:36,Time lapse,Private individual,Nissan,Leaf,Several modules (min. 8) in pack with housing,"Cordless screwdriver, crowbar, pliers, carpet knife, gloves protecting against electricity","Well comprehensible, including explanations of the technician","Screws, bonding",Voltage present on cells,No,Yes,Into individual cells,"Difficulties in opening the case, strong adhesions"
7,2010-2015 Prius Hybrid Battery Disassembly and reassembly,https://www.youtube.com/watch?v=uZLi2NVTNvw,2017-07-14,00:32:04,unknown,Car repair shop employee,Toyota,Prius,"Hybrid: battery smaller, only one module with multiple cells","Cordless screwdriver, wrench, screwdriver","Quite good, but HYBRID","Screws, plug connections",unknown,No,"Yes, is also made in the second part of the video",Into individual cells,Not visible
8,"Nissan Leaf, NV200 24kWh EV-Battery Tear Down Disassembly",https://www.youtube.com/watch?v=Dah-UB3d2_8,2018-03-18,00:07:10,Time lapse,Private individual,Nissan,Leaf,"Several modules (min. 7) of different size, in housing","Cordless screwdriver, crowbar, screwdriver","Relatively good, sometimes filters stand in the picture, no explanations, only disassembly","Screws, bonding, plug-in connections",unknown,No,Yes,Into individual cells,"Difficulties in opening the case, strong adhesions"
9,9 Junkyard Electric Truck- Battery Pack Disassembly,https://www.youtube.com/watch?v=IM7TBUlSDAk,2019-05-24,00:09:03,Time lapse,Private individual,unknown,"Truck, kleiner LKW","In battery pack are several large batteries, no modules with cells, 2 levels in battery pack","Cordless screwdriver, wrench, pliers","Battery from Truck, only conditionally usable","Screws, plug connections",unknown,No,Yes,Into individual cells,Not visible
10,Demontage der Chevrolet Bolt EV-Batterie,https://www.youtube.com/watch?v=sU2mjNi_Q,2018-02-20,01:36:10,Partly time lapse,Weber State University,Chevrolet,Bolt,"5 Battery sections (+ 2 modules side by side, flat design, 3 sections side by side and 2 on top of each other, orange 'Bus bars': High Voltage, black cables: low voltage)","Cordless screwdriver, system for removal of coolant (vacuum pump)",Comprehensive process with labels of the individual steps in the video,"Screws, plug connections",Yes,No,Yes,"2 wire connector, charger connector, battery disconnect relay center, internal coolant hoses, Battery Energy Control Module, internal wire harnesses, Service Disconnect lever connector, Bus bars, Covers, Battery sections, Cooling plate, Cross braces, insulation pads, connector",Not visible
